config,dipole_l,dipole_m,dipole_h,muL_SCEE,delta_mu,mu_liquid,,,,,,,
112,2.6181,2.9661,3.072,2.92660477003757,1.34830320359987,3.03830320359987,,,2.92660477003757,,1.60184958836703,-0.230526144630314,0.289793877551022
80,2.5622,2.8948,3.198,2.95531097015292,1.37702704401782,3.06702704401782,,,2.95531097015292,,0.595192095385296,-0.0279945008349081,1.44991428571428
91,2.5222,2.8762,3.2426,2.95703183047693,1.37874896183104,3.06874896183103,,,2.96463433944316,,0.431071192000753,0.0118072044337713,1.57909795918368
136,2.4561,2.9222,3.2554,2.97979543985969,1.40152655972346,3.09152655972346,,,2.97979543985969,,1.25892068573952,-0.126546570100656,0.392079591836734
160,2.555,2.893,3.2464,2.98336159318824,1.40509490449579,3.09509490449579,,,2.99218348727151,,0.395092735703242,0.0146637861516192,1.67414285714286
92,2.5583,2.8953,3.2753,2.9967654845792,1.418507032738,3.108507032738,,,3.0218355237523,,0.265846292149008,0.0409443379558178,1.83238163265306
42,2.585,2.9053,3.2493,3.00036554574195,1.42210930618131,3.11210930618131,,,3.01319450686642,,0.332214222628773,0.0225669955709973,1.80044897959184
138,2.5114,2.8904,3.3099,3.01142693088028,1.43317748867284,3.12317748867284,,,3.03747003903009,,0.335388212472005,0.0385638531909448,1.65170612244898
109,2.5235,2.8956,3.2998,3.01477682218395,1.43652943852469,3.12652943852469,,,3.03464131474932,,0.364782118411506,0.0305654243809711,1.63723469387755
27,2.5529,2.904,3.2854,3.01825625239974,1.44001100689188,3.13001100689188,,,3.03577115432908,,0.344141327319178,0.0288514753502629,1.71671632653062
24,2.5686,2.9126,3.284,3.03004519169837,1.45180719063442,3.14180719063442,,,3.04523637288567,,0.347778601394188,0.0260901130230098,1.73672244897959
35,2.5087,2.8935,3.3351,3.0311459784769,1.45290865385956,3.14290865385956,,,3.06818379998288,,0.267876857079768,0.0540846138579182,1.72225102040817
183,2.582,2.9206,3.2851,3.04182822248694,1.46359746223605,3.15359746223605,,,3.0556791408686,,0.347275888717155,0.0246618221640859,1.75728571428572
21,2.5486,2.917,3.3082,3.05439299823351,1.47616995918728,3.16616995918728,,,3.06729483818582,,0.402761568305836,0.0217100210556434,1.6216612244898
8,2.5421,2.9212,3.3264,3.07421896935607,1.49600811360573,3.18600811360573,,,3.08895846491624,,0.402239141406172,0.0248522609452762,1.60277346938776
