config,dipole_l,dipole_m,dipole_h,muL_SCEE,delta_mu,mu_liquid
169,2.2414,2.539,2.9066,2.3465600682306453,0.7679020574004387,2.457902057400439
132,1.8375,1.9371,2.0384,1.800890254154086,0.22189692271017147,1.9118969227101714
105,2.2454,2.5069,2.79,2.340259835320622,0.7615979529220944,2.4515979529220946
115,2.4287,2.7221,3.0397,2.669563209350653,1.0911036878059368,2.7811036878059365
112,2.6181,2.9661,3.072,2.9266047700375712,1.3483032035998714,3.038303203599871
128,2.1879,2.4553,2.7505,2.25247131762984,0.673755488139373,2.3637554881393728
178,2.4825,2.8236,3.1962,2.851498850713557,1.2731511307919898,2.9631511307919896
48,2.3694,2.6686,3.004,2.573128450614909,0.9946096687599322,2.684609668759932
137,2.309,2.5451,2.7951,2.421734996817242,0.8431231818779177,2.533123181877918
102,2.2567,2.5218,2.8094,2.3599170570682384,0.7812672542670975,2.4712672542670973
130,2.2054,2.4707,2.764,2.278846035574594,0.700146413663105,2.390146413663105
82,2.1879,2.4703,2.7814,2.258413792892072,0.6797016151235813,2.3697016151235815
156,2.4239,2.7532,3.1094,2.7159521968822062,1.1375211819240139,2.8275211819240136
152,2.0639,2.2371,2.5046,2.062537960685199,0.48370541487989915,2.1737054148798993
16,2.3859,2.7109,3.0576,2.639152875963359,1.0606746669058074,2.750674666905807
129,2.4085,2.7173,3.0551,2.655645216470732,1.07717714215327,2.76717714215327
158,2.4185,2.7168,3.0254,2.6607356708101073,1.0822707246375953,2.772270724637595
101,2.3451,2.6659,3.036,2.553485192711441,0.974954339840026,2.664954339840026
28,2.5002,2.7989,3.1099,2.80170401605305,1.2233256966112471,2.9133256966112473
98,2.2246,2.4255,2.6417,2.2815635969939856,0.7028656450564246,2.3928656450564247
155,2.4183,2.7477,3.1095,2.705014483211167,1.1265767468973744,2.8165767468973746
97,2.5137,2.8165,2.951,2.745431253582084,1.1670183538560874,2.8570183538560876
88,2.3466,2.6973,3.1185,2.591851303107577,1.0133440266689278,2.703344026668928
193,2.3287,2.6275,2.9284,2.509515253301707,0.9309573803777125,2.620957380377712
22,2.3927,2.6777,2.9842,2.5981269545523813,1.0196235345764493,2.7096235345764494
71,2.0719,2.2784,2.4974,2.072472879078585,0.4936464383992185,2.1836464383992187
179,2.1468,2.3105,2.6826,2.155188550173746,0.576412939261538,2.2664129392615378
