Temperature (K),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
298.0,24.0,998.12,0.0010019,1.8739,1.9172,6.5666,74.411,75.209,1500.1,-0.02215,892.75,0.60757,liquid
298.0,25.0,998.17,0.0010018,1.8737,1.9189,6.5662,74.405,75.204,1500.3,-0.02215,892.74,0.60763,liquid
298.0,26.0,998.21,0.0010018,1.8736,1.9205,6.5657,74.399,75.199,1500.5,-0.02215,892.72,0.60768,liquid
298.0,27.0,998.26,0.0010017,1.8735,1.9222,6.5652,74.393,75.194,1500.7,-0.02215,892.71,0.60774,liquid
298.0,28.0,998.3,0.0010017,1.8733,1.9239,6.5648,74.387,75.189,1500.8,-0.022149,892.7,0.6078,liquid
298.0,29.0,998.35,0.0010017,1.8732,1.9255,6.5643,74.381,75.184,1501.0,-0.022149,892.68,0.60785,liquid
298.0,30.0,998.39,0.0010016,1.8731,1.9272,6.5638,74.375,75.179,1501.2,-0.022149,892.67,0.60791,liquid
298.0,31.0,998.44,0.0010016,1.8729,1.9289,6.5633,74.369,75.173,1501.3,-0.022149,892.66,0.60797,liquid
298.0,32.0,998.48,0.0010015,1.8728,1.9305,6.5629,74.363,75.168,1501.5,-0.022148,892.64,0.60802,liquid
298.0,33.0,998.52,0.0010015,1.8726,1.9322,6.5624,74.357,75.163,1501.7,-0.022148,892.63,0.60808,liquid
298.0,34.0,998.57,0.0010014,1.8725,1.9338,6.5619,74.351,75.158,1501.8,-0.022148,892.62,0.60813,liquid
298.0,35.0,998.61,0.0010014,1.8724,1.9355,6.5615,74.345,75.153,1502.0,-0.022147,892.6,0.60819,liquid
298.0,36.0,998.66,0.0010013,1.8722,1.9372,6.561,74.339,75.148,1502.2,-0.022147,892.59,0.60825,liquid
298.0,37.0,998.7,0.0010013,1.8721,1.9388,6.5605,74.333,75.143,1502.3,-0.022147,892.58,0.6083,liquid
298.0,38.0,998.75,0.0010013,1.872,1.9405,6.5601,74.327,75.138,1502.5,-0.022147,892.56,0.60836,liquid
298.0,39.0,998.79,0.0010012,1.8718,1.9422,6.5596,74.321,75.133,1502.7,-0.022146,892.55,0.60842,liquid
298.0,40.0,998.84,0.0010012,1.8717,1.9438,6.5591,74.315,75.128,1502.8,-0.022146,892.54,0.60847,liquid
298.0,41.0,998.88,0.0010011,1.8716,1.9455,6.5587,74.31,75.122,1503.0,-0.022146,892.53,0.60853,liquid
298.0,42.0,998.93,0.0010011,1.8714,1.9472,6.5582,74.304,75.117,1503.2,-0.022145,892.51,0.60858,liquid
298.0,43.0,998.97,0.001001,1.8713,1.9488,6.5577,74.298,75.112,1503.3,-0.022145,892.5,0.60864,liquid
298.0,44.0,999.02,0.001001,1.8711,1.9505,6.5573,74.292,75.107,1503.5,-0.022145,892.49,0.6087,liquid
298.0,45.0,999.06,0.0010009,1.871,1.9521,6.5568,74.286,75.102,1503.7,-0.022144,892.47,0.60875,liquid
298.0,46.0,999.11,0.0010009,1.8709,1.9538,6.5563,74.28,75.097,1503.8,-0.022144,892.46,0.60881,liquid
298.0,47.0,999.15,0.0010008,1.8707,1.9555,6.5558,74.274,75.092,1504.0,-0.022144,892.45,0.60886,liquid
298.0,48.0,999.2,0.0010008,1.8706,1.9571,6.5554,74.268,75.087,1504.2,-0.022144,892.44,0.60892,liquid
298.0,49.0,999.24,0.0010008,1.8705,1.9588,6.5549,74.262,75.082,1504.3,-0.022143,892.42,0.60898,liquid
298.0,50.0,999.29,0.0010007,1.8703,1.9605,6.5544,74.256,75.077,1504.5,-0.022143,892.41,0.60903,liquid
298.0,51.0,999.33,0.0010007,1.8702,1.9621,6.554,74.25,75.072,1504.7,-0.022143,892.4,0.60909,liquid
298.0,52.0,999.37,0.0010006,1.87,1.9638,6.5535,74.244,75.067,1504.8,-0.022142,892.38,0.60914,liquid
298.0,53.0,999.42,0.0010006,1.8699,1.9655,6.553,74.238,75.062,1505.0,-0.022142,892.37,0.6092,liquid
298.0,54.0,999.46,0.0010005,1.8698,1.9671,6.5525,74.233,75.057,1505.2,-0.022142,892.36,0.60926,liquid
298.0,55.0,999.51,0.0010005,1.8696,1.9688,6.5521,74.227,75.052,1505.3,-0.022142,892.35,0.60931,liquid
298.0,56.0,999.55,0.0010004,1.8695,1.9704,6.5516,74.221,75.047,1505.5,-0.022141,892.33,0.60937,liquid
298.0,57.0,999.6,0.0010004,1.8694,1.9721,6.5511,74.215,75.042,1505.7,-0.022141,892.32,0.60942,liquid
298.0,58.0,999.64,0.0010004,1.8692,1.9738,6.5507,74.209,75.037,1505.8,-0.022141,892.31,0.60948,liquid
298.0,59.0,999.69,0.0010003,1.8691,1.9754,6.5502,74.203,75.032,1506.0,-0.02214,892.3,0.60953,liquid
298.0,60.0,999.73,0.0010003,1.869,1.9771,6.5497,74.197,75.027,1506.2,-0.02214,892.28,0.60959,liquid
298.0,61.0,999.78,0.0010002,1.8688,1.9787,6.5492,74.191,75.022,1506.3,-0.02214,892.27,0.60965,liquid
298.0,62.0,999.82,0.0010002,1.8687,1.9804,6.5488,74.185,75.017,1506.5,-0.022139,892.26,0.6097,liquid
298.0,63.0,999.87,0.0010001,1.8686,1.9821,6.5483,74.18,75.012,1506.7,-0.022139,892.25,0.60976,liquid
298.0,64.0,999.91,0.0010001,1.8684,1.9837,6.5478,74.174,75.007,1506.8,-0.022139,892.24,0.60981,liquid
298.0,65.0,999.95,0.001,1.8683,1.9854,6.5473,74.168,75.002,1507.0,-0.022139,892.22,0.60987,liquid
298.0,66.0,1000.0,0.001,1.8681,1.987,6.5469,74.162,74.997,1507.2,-0.022138,892.21,0.60992,liquid
298.0,67.0,1000.0,0.00099996,1.868,1.9887,6.5464,74.156,74.992,1507.3,-0.022138,892.2,0.60998,liquid
298.0,68.0,1000.1,0.00099991,1.8679,1.9904,6.5459,74.15,74.987,1507.5,-0.022138,892.19,0.61004,liquid
298.0,69.0,1000.1,0.00099987,1.8677,1.992,6.5454,74.144,74.982,1507.7,-0.022137,892.17,0.61009,liquid
298.0,70.0,1000.2,0.00099982,1.8676,1.9937,6.545,74.138,74.977,1507.8,-0.022137,892.16,0.61015,liquid
298.0,71.0,1000.2,0.00099978,1.8675,1.9953,6.5445,74.133,74.972,1508.0,-0.022137,892.15,0.6102,liquid
298.0,72.0,1000.3,0.00099973,1.8673,1.997,6.544,74.127,74.967,1508.2,-0.022136,892.14,0.61026,liquid
298.0,73.0,1000.3,0.00099969,1.8672,1.9987,6.5435,74.121,74.962,1508.3,-0.022136,892.13,0.61031,liquid
298.0,74.0,1000.4,0.00099965,1.8671,2.0003,6.5431,74.115,74.957,1508.5,-0.022136,892.12,0.61037,liquid
298.0,75.0,1000.4,0.0009996,1.8669,2.002,6.5426,74.109,74.952,1508.7,-0.022135,892.1,0.61042,liquid
298.0,76.0,1000.4,0.00099956,1.8668,2.0036,6.5421,74.103,74.947,1508.9,-0.022135,892.09,0.61048,liquid
